riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
rs1263627-A	3E-10	-	0.758	-	"0.0136 unit decrease"	[0.0093-0.0179]	KLF7	"Body mass index"	"body mass index"	-	GCST90446645	2:207112529	39375568	"Sidorenko J"
rs11692326-C	4E-12	-	0.7649	-	"0.0141 unit decrease"	[0.01-0.018]	MYOSLID-AS1	"Body mass index"	"body mass index"	-	GCST90446645	2:207398555	39375568	"Sidorenko J"
rs715-T	9E-14	-	0.6978	-	"0.0153 unit decrease"	[0.011-0.019]	CPS1	"Body mass index"	"body mass index"	-	GCST90446645	2:210678331	39375568	"Sidorenko J"
rs17737553-G	2E-8	-	0.715	-	"0.0113 unit decrease"	[0.0074-0.0152]	CPS1,RPS27P10	"Body mass index"	"body mass index"	-	GCST90446645	2:211130361	39375568	"Sidorenko J"
rs16825005-G	2E-9	-	0.7042	-	"0.0115 unit decrease"	[0.0078-0.0152]	ERBB4	"Body mass index"	"body mass index"	-	GCST90446645	2:211439840	39375568	"Sidorenko J"
rs7599312-G	1E-22	-	0.7234	-	"0.0191 unit increase"	[0.015-0.023]	ERBB4,LINC01878	"Body mass index"	"body mass index"	-	GCST90446645	2:212548507	39375568	"Sidorenko J"
rs492400-C	2E-10	-	0.3828	-	"0.0111 unit increase"	[0.0078-0.0144]	USP37	"Body mass index"	"body mass index"	-	GCST90446645	2:218485029	39375568	"Sidorenko J"
rs2271593-C	6E-14	-	0.8551	-	"0.0191 unit increase"	[0.014-0.024]	PTPRN	"Body mass index"	"body mass index"	-	GCST90446645	2:219303885	39375568	"Sidorenko J"
rs10209576-G	6E-17	-	0.6646	-	"0.0158 unit decrease"	[0.012-0.02]	SPHKAP	"Body mass index"	"body mass index"	-	GCST90446645	2:228115185	39375568	"Sidorenko J"
rs6720868-C	9E-14	-	0.7022	-	"0.0145 unit decrease"	[0.011-0.018]	TRIP12	"Body mass index"	"body mass index"	-	GCST90446645	2:229798860	39375568	"Sidorenko J"
rs4663629-A	1E-10	-	0.2475	-	"0.014 unit increase"	[0.0097-0.0183]	AGAP1	"Body mass index"	"body mass index"	-	GCST90446645	2:235893228	39375568	"Sidorenko J"
rs2279440-C	7E-10	-	0.8781	-	"0.0167 unit decrease"	[0.011-0.022]	SETD5	"Body mass index"	"body mass index"	-	GCST90446645	3:9476827	39375568	"Sidorenko J"
rs3930017-A	2E-13	-	0.3842	-	"0.0133 unit decrease"	[0.0098-0.0168]	"FAM185BP,DTX2P1-UPK3BP1-PMS2P11"	"Body mass index"	"body mass index"	-	GCST90446645	7:77091265	39375568	"Sidorenko J"
rs740158-T	1E-10	-	0.5255	-	"0.0112 unit increase"	[0.0079-0.0145]	GSAP,GCNT1P5	"Body mass index"	"body mass index"	-	GCST90446645	7:77426519	39375568	"Sidorenko J"
rs1544459-T	7E-9	-	0.5061	-	"0.0101 unit decrease"	[0.0068-0.0134]	TMEM60,RSBN1L	"Body mass index"	"body mass index"	-	GCST90446645	7:77788267	39375568	"Sidorenko J"
rs3779273-G	1E-12	-	0.5648	-	"0.0124 unit increase"	[0.0089-0.0159]	MAGI2	"Body mass index"	"body mass index"	-	GCST90446645	7:78199623	39375568	"Sidorenko J"
rs10259665-A	4E-9	-	0.3499	-	"0.0116 unit increase"	[0.0077-0.0155]	MAGI2	"Body mass index"	"body mass index"	-	GCST90446645	7:79432521	39375568	"Sidorenko J"
rs7780752-T	1E-12	-	0.6556	-	"0.0136 unit decrease"	[0.0099-0.0173]	GNGT1	"Body mass index"	"body mass index"	-	GCST90446645	7:93612328	39375568	"Sidorenko J"
rs11976018-G	3E-16	-	0.8445	-	"0.0206 unit increase"	[0.016-0.026]	ZKSCAN5	"Body mass index"	"body mass index"	-	GCST90446645	7:99524814	39375568	"Sidorenko J"
rs1048303-C	4E-8	-	0.4127	-	"0.0102 unit increase"	[0.0065-0.0139]	AP1S1	"Body mass index"	"body mass index"	-	GCST90446645	7:101160859	39375568	"Sidorenko J"
rs11496125-C	5E-21	-	0.6126	-	"0.0175 unit decrease"	[0.014-0.021]	RELN	"Body mass index"	"body mass index"	-	GCST90446645	7:103777110	39375568	"Sidorenko J"
rs1721447-T	2E-9	-	0.5044	-	"0.0109 unit decrease"	[0.0074-0.0144]	BUB3P1,EIF3IP1	"Body mass index"	"body mass index"	-	GCST90446645	7:109574082	39375568	"Sidorenko J"
rs2396625-T	3E-15	-	0.5779	-	"0.0148 unit increase"	[0.011-0.019]	SMIM30,PPP1R3A	"Body mass index"	"body mass index"	-	GCST90446645	7:113388579	39375568	"Sidorenko J"
rs4490752-A	2E-18	-	0.3867	-	"0.0168 unit increase"	[0.013-0.021]	SMIM30,PPP1R3A	"Body mass index"	"body mass index"	-	GCST90446645	7:113853717	39375568	"Sidorenko J"
rs12705987-T	1E-15	-	0.5709	-	"0.015 unit decrease"	[0.011-0.019]	FOXP2,MDFIC	"Body mass index"	"body mass index"	-	GCST90446645	7:114709157	39375568	"Sidorenko J"
rs1899689-C	6E-12	-	0.6023	-	"0.0121 unit decrease"	[0.0086-0.0156]	CADPS2	"Body mass index"	"body mass index"	-	GCST90446645	7:122324295	39375568	"Sidorenko J"
rs896183-G	7E-9	-	0.5921	-	"0.0105 unit decrease"	[0.007-0.014]	SND1,MIR129-1	"Body mass index"	"body mass index"	-	GCST90446645	7:128191527	39375568	"Sidorenko J"
rs3800636-T	1E-9	-	0.6646	-	"0.0119 unit decrease"	[0.008-0.0158]	DGKI	"Body mass index"	"body mass index"	-	GCST90446645	7:137717972	39375568	"Sidorenko J"
rs7811342-T	2E-10	-	0.9104	-	"0.0195 unit increase"	[0.013-0.026]	ZC3HAV1	"Body mass index"	"body mass index"	-	GCST90446645	7:139109872	39375568	"Sidorenko J"
rs11773362-C	1E-8	-	0.6549	-	"0.0109 unit increase"	[0.0072-0.0146]	CNTNAP2	"Body mass index"	"body mass index"	-	GCST90446645	7:147971088	39375568	"Sidorenko J"
rs10236214-C	3E-11	-	0.3837	-	"0.0122 unit decrease"	[0.0087-0.0157]	KCNH2	"Body mass index"	"body mass index"	-	GCST90446645	7:150970982	39375568	"Sidorenko J"
rs1658820-G	1E-11	-	0.7785	-	"0.0147 unit decrease"	[0.01-0.019]	CSMD1	"Body mass index"	"body mass index"	-	GCST90446645	8:4431055	39375568	"Sidorenko J"
rs4240673-T	1E-22	-	0.4547	-	"0.0172 unit increase"	[0.014-0.021]	XKR6	"Body mass index"	"body mass index"	-	GCST90446645	8:10930102	39375568	"Sidorenko J"
rs6530737-A	8E-17	-	0.3461	-	"0.016 unit increase"	[0.012-0.02]	SGCZ	"Body mass index"	"body mass index"	-	GCST90446645	8:14238254	39375568	"Sidorenko J"
rs13265882-T	8E-10	-	0.364	-	"0.0117 unit decrease"	[0.008-0.0154]	TUSC3	"Body mass index"	"body mass index"	-	GCST90446645	8:15707748	39375568	"Sidorenko J"
rs2616192-G	1E-11	-	0.331	-	"0.0134 unit decrease"	[0.0095-0.0173]	LZTS1,TMEM97P2	"Body mass index"	"body mass index"	-	GCST90446645	8:20811113	39375568	"Sidorenko J"
rs11781222-T	1E-11	-	0.8467	-	"0.0174 unit increase"	[0.012-0.022]	SLC25A37	"Body mass index"	"body mass index"	-	GCST90446645	8:23532058	39375568	"Sidorenko J"
rs4880341-C	2E-12	-	0.4295	-	"0.0129 unit increase"	[0.0094-0.0164]	JAKMIP3	"Body mass index"	"body mass index"	-	GCST90446645	10:132179185	39375568	"Sidorenko J"
rs10540-G	4E-8	-	0.8845	-	"0.0141 unit increase"	[0.009-0.0192]	RNH1	"Body mass index"	"body mass index"	-	GCST90446645	11:494662	39375568	"Sidorenko J"
rs1138714-A	4E-14	-	0.4227	-	"0.0142 unit decrease"	[0.01-0.018]	PNPLA2	"Body mass index"	"body mass index"	-	GCST90446645	11:825110	39375568	"Sidorenko J"
rs10840606-A	9E-10	-	0.8099	-	"0.0152 unit decrease"	[0.01-0.02]	MIR4686,ASCL2	"Body mass index"	"body mass index"	-	GCST90446645	11:2213460	39375568	"Sidorenko J"
rs4929923-T	8E-26	-	0.3225	-	"0.0189 unit decrease"	[0.015-0.022]	TRIM66	"Body mass index"	"body mass index"	-	GCST90446645	11:8617653	39375568	"Sidorenko J"
rs11604688-C	9E-11	-	0.4625	-	"0.012 unit increase"	[0.0085-0.0155]	MIR4299,MIR8070	"Body mass index"	"body mass index"	-	GCST90446645	11:11744066	39375568	"Sidorenko J"
rs900144-C	3E-20	-	0.3928	-	"0.0169 unit decrease"	[0.013-0.02]	RASSF10,BMAL1	"Body mass index"	"body mass index"	-	GCST90446645	11:13272721	39375568	"Sidorenko J"
rs903810-C	9E-10	-	0.5575	-	"0.0112 unit increase"	[0.0077-0.0147]	CALCB	"Body mass index"	"body mass index"	-	GCST90446645	11:14953195	39375568	"Sidorenko J"
rs2051772-G	1E-12	-	0.4023	-	"0.0125 unit decrease"	[0.009-0.016]	KCNJ11,NCR3LG1	"Body mass index"	"body mass index"	-	GCST90446645	11:17368303	39375568	"Sidorenko J"
rs7930772-C	4E-8	-	0.9368	-	"0.0226 unit decrease"	[0.015-0.031]	NELL1	"Body mass index"	"body mass index"	-	GCST90446645	11:20937458	39375568	"Sidorenko J"
rs6265-C	4E-56	-	0.8173	-	"0.0367 unit increase"	[0.032-0.041]	BDNF-AS,BDNF	"Body mass index"	"body mass index"	-	GCST90446645	11:27658369	39375568	"Sidorenko J"
rs962369-T	3E-27	-	0.6783	-	"0.0212 unit decrease"	[0.017-0.025]	BDNF	"Body mass index"	"body mass index"	-	GCST90446645	11:27712873	39375568	"Sidorenko J"
rs11030385-G	7E-10	-	0.5913	-	"0.0116 unit increase"	[0.0079-0.0153]	METTL15,LINC02758	"Body mass index"	"body mass index"	-	GCST90446645	11:28607568	39375568	"Sidorenko J"
rs2065418-T	5E-21	-	0.6434	-	"0.018 unit increase"	[0.014-0.022]	MPPED2	"Body mass index"	"body mass index"	-	GCST90446645	11:30400521	39375568	"Sidorenko J"
rs223051-C	4E-9	-	0.3442	-	"0.0115 unit decrease"	[0.0078-0.0152]	THEM7P,RCN1	"Body mass index"	"body mass index"	-	GCST90446645	11:32109757	39375568	"Sidorenko J"
rs10838122-T	2E-8	-	0.4859	-	"0.0103 unit decrease"	[0.0068-0.0138]	MIR670HG,CTBP2P6	"Body mass index"	"body mass index"	-	GCST90446645	11:43529866	39375568	"Sidorenko J"
rs2862996-G	1E-28	-	0.2907	-	"0.0206 unit increase"	[0.017-0.024]	MIR670HG	"Body mass index"	"body mass index"	-	GCST90446645	11:43632283	39375568	"Sidorenko J"
rs10838202-C	2E-10	-	0.548	-	"0.0118 unit increase"	[0.0083-0.0153]	ALKBH3,ALKBH3-AS1	"Body mass index"	"body mass index"	-	GCST90446645	11:43918214	39375568	"Sidorenko J"
rs10742752-T	4E-13	-	0.3745	-	"0.0128 unit decrease"	[0.0093-0.0163]	LINC02687	"Body mass index"	"body mass index"	-	GCST90446645	11:45416824	39375568	"Sidorenko J"
rs7124681-C	2E-50	-	0.573	-	"0.0261 unit decrease"	[0.023-0.029]	CELF1	"Body mass index"	"body mass index"	-	GCST90446645	11:47508395	39375568	"Sidorenko J"
rs477895-C	2E-11	-	0.1522	-	"0.0167 unit decrease"	[0.012-0.022]	BAD,GPR137	"Body mass index"	"body mass index"	-	GCST90446645	11:64281440	39375568	"Sidorenko J"
rs506338-T	3E-10	-	0.2683	-	"0.0121 unit decrease"	[0.0084-0.0158]	NRXN2	"Body mass index"	"body mass index"	-	GCST90446645	11:64673448	39375568	"Sidorenko J"
rs7102454-T	2E-17	-	0.6322	-	"0.0162 unit decrease"	[0.012-0.02]	CFL1	"Body mass index"	"body mass index"	-	GCST90446645	11:65827349	39375568	"Sidorenko J"
rs7950900-G	2E-8	-	0.6261	-	"0.0107 unit increase"	[0.007-0.0144]	PPP6R3	"Body mass index"	"body mass index"	-	GCST90446645	11:68526077	39375568	"Sidorenko J"
rs592483-C	2E-14	-	0.4014	-	"0.0135 unit increase"	[0.01-0.017]	LINC01488,CCND1	"Body mass index"	"body mass index"	-	GCST90446645	11:69630405	39375568	"Sidorenko J"
rs8181823-A	6E-10	-	0.2303	-	"0.0133 unit decrease"	[0.0092-0.0174]	LGMNP1,LINC00355	"Body mass index"	"body mass index"	-	GCST90446645	13:64903808	39375568	"Sidorenko J"
rs9540493-A	2E-14	-	0.4529	-	"0.0136 unit increase"	[0.01-0.017]	STARP1,HNRNPA3P5	"Body mass index"	"body mass index"	-	GCST90446645	13:65631572	39375568	"Sidorenko J"
rs2324909-C	2E-8	-	0.1889	-	"0.0127 unit increase"	[0.0082-0.0172]	PCDH9	"Body mass index"	"body mass index"	-	GCST90446645	13:66595346	39375568	"Sidorenko J"
rs12875741-G	1E-13	-	0.6594	-	"0.0147 unit increase"	[0.011-0.019]	PCDH9,PCDH9-AS2	"Body mass index"	"body mass index"	-	GCST90446645	13:66914502	39375568	"Sidorenko J"
rs17065145-T	1E-8	-	0.8549	-	"0.0144 unit decrease"	[0.0095-0.0193]	LMO7	"Body mass index"	"body mass index"	-	GCST90446645	13:75854052	39375568	"Sidorenko J"
rs1668633-C	1E-8	-	0.4328	-	"0.0104 unit decrease"	[0.0069-0.0139]	EDNRB-AS1	"Body mass index"	"body mass index"	-	GCST90446645	13:77797755	39375568	"Sidorenko J"
rs7319358-C	7E-10	-	0.5659	-	"0.0114 unit increase"	[0.0077-0.0151]	NIPA2P5,CCT5P2	"Body mass index"	"body mass index"	-	GCST90446645	13:78976799	39375568	"Sidorenko J"
rs7331467-G	1E-11	-	0.6404	-	"0.0128 unit decrease"	[0.0091-0.0165]	SLITRK6,MOB1AP1	"Body mass index"	"body mass index"	-	GCST90446645	13:85966654	39375568	"Sidorenko J"
rs912690-C	1E-16	-	0.5678	-	"0.0153 unit decrease"	[0.012-0.019]	HS6ST3	"Body mass index"	"body mass index"	-	GCST90446645	13:96368451	39375568	"Sidorenko J"
rs9514131-G	6E-10	-	0.8647	-	"0.0173 unit increase"	[0.012-0.023]	LINC01309,ATP6V1G1P7	"Body mass index"	"body mass index"	-	GCST90446645	13:103438498	39375568	"Sidorenko J"
rs2479958-A	8E-17	-	0.4796	-	"0.0159 unit increase"	[0.012-0.02]	TEX29	"Body mass index"	"body mass index"	-	GCST90446645	13:111331897	39375568	"Sidorenko J"
rs9522285-G	4E-12	-	0.6047	-	"0.0128 unit decrease"	[0.0093-0.0163]	TEX29,LINC02337	"Body mass index"	"body mass index"	-	GCST90446645	13:111578354	39375568	"Sidorenko J"
rs10132280-C	6E-32	-	0.6861	-	"0.0224 unit increase"	[0.019-0.026]	OR7K1P,LINC02306	"Body mass index"	"body mass index"	-	GCST90446645	14:25458973	39375568	"Sidorenko J"
rs11625899-C	5E-22	-	0.64	-	"0.0183 unit increase"	[0.015-0.022]	LINC02327	"Body mass index"	"body mass index"	-	GCST90446645	14:29254408	39375568	"Sidorenko J"
rs1440983-G	2E-13	-	0.963	-	"0.035 unit decrease"	[0.026-0.044]	PRKD1	"Body mass index"	"body mass index"	-	GCST90446645	14:30024055	39375568	"Sidorenko J"
rs2239647-A	1E-20	-	0.4375	-	"0.0173 unit increase"	[0.014-0.021]	AKAP6	"Body mass index"	"body mass index"	-	GCST90446645	14:32823537	39375568	"Sidorenko J"
rs17103097-A	4E-9	-	0.9144	-	"0.0182 unit increase"	[0.012-0.024]	PRORP	"Body mass index"	"body mass index"	-	GCST90446645	14:35206032	39375568	"Sidorenko J"
rs1955540-C	2E-11	-	0.8027	-	"0.0156 unit increase"	[0.011-0.02]	FBXO33,LINC02315	"Body mass index"	"body mass index"	-	GCST90446645	14:40332547	39375568	"Sidorenko J"
rs3007105-C	2E-16	-	0.6242	-	"0.0144 unit decrease"	[0.011-0.018]	MDGA2	"Body mass index"	"body mass index"	-	GCST90446645	14:46898413	39375568	"Sidorenko J"
rs217671-A	2E-12	-	0.7327	-	"0.0145 unit decrease"	[0.01-0.019]	SYT16	"Body mass index"	"body mass index"	-	GCST90446645	14:61893746	39375568	"Sidorenko J"
rs1954494-T	3E-8	-	0.5776	-	"0.0097 unit increase"	[0.0064-0.013]	SERTAD4BP	"Body mass index"	"body mass index"	-	GCST90446645	14:62126579	39375568	"Sidorenko J"
rs4430672-T	1E-8	-	0.1896	-	"0.0129 unit increase"	[0.0084-0.0174]	KCNH5,ATP5F1AP4	"Body mass index"	"body mass index"	-	GCST90446645	14:62627689	39375568	"Sidorenko J"
rs3902951-T	1E-10	-	0.7803	-	"0.0133 unit decrease"	[0.0092-0.0174]	GALNT16	"Body mass index"	"body mass index"	-	GCST90446645	14:69323038	39375568	"Sidorenko J"
rs1007934-G	2E-11	-	0.5832	-	"0.0124 unit increase"	[0.0089-0.0159]	ZFYVE1	"Body mass index"	"body mass index"	-	GCST90446645	14:72996771	39375568	"Sidorenko J"
rs2111386-G	2E-9	-	0.7912	-	"0.0132 unit decrease"	[0.0089-0.0175]	CIPC	"Body mass index"	"body mass index"	-	GCST90446645	14:77105540	39375568	"Sidorenko J"
rs12564992-A	1E-12	-	0.887	-	"0.0196 unit decrease"	[0.014-0.025]	RABGAP1L	"Body mass index"	"body mass index"	-	GCST90446645	1:174508962	39375568	"Sidorenko J"
rs10913118-A	7E-9	-	0.6921	-	"0.0106 unit decrease"	[0.0071-0.0141]	COP1	"Body mass index"	"body mass index"	-	GCST90446645	1:175985619	39375568	"Sidorenko J"
rs4652247-A	4E-11	-	0.8118	-	"0.0149 unit decrease"	[0.01-0.019]	LINC01645	"Body mass index"	"body mass index"	-	GCST90446645	1:177359160	39375568	"Sidorenko J"
rs543874-A	5E-105	-	0.7667	-	"0.0467 unit decrease"	[0.043-0.051]	SEC16B,LINC01741	"Body mass index"	"body mass index"	-	GCST90446645	1:177920345	39375568	"Sidorenko J"
rs10920678-A	4E-18	-	0.4212	-	"0.0151 unit increase"	[0.012-0.018]	BRINP3	"Body mass index"	"body mass index"	-	GCST90446645	1:190270777	39375568	"Sidorenko J"
rs12041258-T	6E-13	-	0.798	-	"0.0155 unit increase"	[0.011-0.02]	RNU6-983P,LINC01724	"Body mass index"	"body mass index"	-	GCST90446645	1:195078806	39375568	"Sidorenko J"
rs10754210-G	3E-9	-	0.6642	-	"0.0116 unit increase"	[0.0077-0.0155]	F13B	"Body mass index"	"body mass index"	-	GCST90446645	1:197042981	39375568	"Sidorenko J"
rs2172935-C	2E-32	-	0.6794	-	"0.0229 unit decrease"	[0.019-0.027]	IPO9	"Body mass index"	"body mass index"	-	GCST90446645	1:201857212	39375568	"Sidorenko J"
rs11590076-C	9E-10	-	0.6764	-	"0.0117 unit increase"	[0.008-0.0154]	PTPN7	"Body mass index"	"body mass index"	-	GCST90446645	1:202153655	39375568	"Sidorenko J"
rs823094-T	5E-8	-	0.5337	-	"0.0095 unit increase"	[0.0062-0.0128]	NUCKS1	"Body mass index"	"body mass index"	-	GCST90446645	1:205720679	39375568	"Sidorenko J"
rs11119208-A	3E-8	-	0.3957	-	"0.0097 unit increase"	[0.0062-0.0132]	TFDP1P1,LINC01774	"Body mass index"	"body mass index"	-	GCST90446645	1:209038623	39375568	"Sidorenko J"
rs1006316-T	1E-9	-	0.8731	-	"0.0164 unit decrease"	[0.011-0.022]	LINC01698	"Body mass index"	"body mass index"	-	GCST90446645	1:209377116	39375568	"Sidorenko J"
rs17015701-G	7E-11	-	0.7972	-	"0.0144 unit decrease"	[0.01-0.019]	SYT14	"Body mass index"	"body mass index"	-	GCST90446645	1:210164346	39375568	"Sidorenko J"
rs6541229-G	2E-9	-	0.5119	-	"0.0103 unit increase"	[0.007-0.0136]	LYPLAL1-AS1	"Body mass index"	"body mass index"	-	GCST90446645	1:219473465	39375568	"Sidorenko J"
rs7518221-T	5E-10	-	0.3232	-	"0.0122 unit increase"	[0.0083-0.0161]	DNAH14	"Body mass index"	"body mass index"	-	GCST90446645	1:225373644	39375568	"Sidorenko J"
rs2491864-G	4E-9	-	0.807	-	"0.0131 unit decrease"	[0.0088-0.0174]	RSL24D1P4,SEPTIN14P21	"Body mass index"	"body mass index"	-	GCST90446645	1:242822761	39375568	"Sidorenko J"
rs12029086-G	3E-8	-	0.8682	-	"0.0144 unit increase"	[0.0093-0.0195]	SDCCAG8	"Body mass index"	"body mass index"	-	GCST90446645	1:243401420	39375568	"Sidorenko J"
rs7536458-T	6E-9	-	0.6985	-	"0.0114 unit decrease"	[0.0075-0.0153]	PSMC1P12,RNA5SP56	"Body mass index"	"body mass index"	-	GCST90446645	1:118321979	39375568	"Sidorenko J"
rs10923724-C	8E-12	-	0.4426	-	"0.0119 unit increase"	[0.0086-0.0152]	WARS2,TBX15	"Body mass index"	"body mass index"	-	GCST90446645	1:119004219	39375568	"Sidorenko J"
rs6587552-A	2E-16	-	0.2407	-	"0.0175 unit increase"	[0.013-0.022]	BNIPL	"Body mass index"	"body mass index"	-	GCST90446645	1:151046385	39375568	"Sidorenko J"
rs905938-T	1E-16	-	0.7079	-	"0.0165 unit decrease"	[0.013-0.02]	DCST2	"Body mass index"	"body mass index"	-	GCST90446645	1:155018913	39375568	"Sidorenko J"
rs11577179-A	1E-11	-	0.375	-	"0.0122 unit decrease"	[0.0087-0.0157]	SSR2	"Body mass index"	"body mass index"	-	GCST90446645	1:156013919	39375568	"Sidorenko J"
rs4414033-G	3E-11	-	0.4061	-	"0.0128 unit decrease"	[0.0091-0.0165]	MIR9-1HG	"Body mass index"	"body mass index"	-	GCST90446645	1:156437061	39375568	"Sidorenko J"
rs10733051-A	1E-8	-	0.5119	-	"0.0099 unit increase"	[0.0066-0.0132]	POU2F1	"Body mass index"	"body mass index"	-	GCST90446645	1:167311117	39375568	"Sidorenko J"
rs16864515-C	1E-9	-	0.9062	-	"0.0187 unit decrease"	[0.013-0.025]	PRRC2C,CYCSP53	"Body mass index"	"body mass index"	-	GCST90446645	1:171466403	39375568	"Sidorenko J"
rs4671358-T	8E-11	-	0.392	-	"0.0122 unit decrease"	[0.0085-0.0159]	MIR4432HG,RNA5SP94	"Body mass index"	"body mass index"	-	GCST90446645	2:59937499	39375568	"Sidorenko J"
rs980329-T	5E-15	-	0.7419	-	"0.0167 unit decrease"	[0.013-0.021]	MIR4432HG,RNA5SP94	"Body mass index"	"body mass index"	-	GCST90446645	2:60057965	39375568	"Sidorenko J"
rs10192894-A	9E-16	-	0.5844	-	"0.0147 unit decrease"	[0.011-0.018]	EHBP1,RSL24D1P2	"Body mass index"	"body mass index"	-	GCST90446645	2:62611801	39375568	"Sidorenko J"
rs2861683-A	7E-15	-	0.6074	-	"0.0143 unit increase"	[0.011-0.018]	LINC02831	"Body mass index"	"body mass index"	-	GCST90446645	2:67609375	39375568	"Sidorenko J"
rs10164798-T	2E-10	-	0.5879	-	"0.0117 unit increase"	[0.0082-0.0152]	GFPT1	"Body mass index"	"body mass index"	-	GCST90446645	2:69338213	39375568	"Sidorenko J"
rs934515-G	8E-12	-	0.886	-	"0.0195 unit decrease"	[0.014-0.025]	CTNNA2	"Body mass index"	"body mass index"	-	GCST90446645	2:79255517	39375568	"Sidorenko J"
rs17020502-G	1E-9	-	0.678	-	"0.0119 unit decrease"	[0.008-0.0158]	RN7SL201P,RNA5SP99	"Body mass index"	"body mass index"	-	GCST90446645	2:81600937	39375568	"Sidorenko J"
rs7557796-T	9E-17	-	0.3636	-	"0.0159 unit increase"	[0.012-0.02]	RNF103-CHMP3,CHMP3	"Body mass index"	"body mass index"	-	GCST90446645	2:86539030	39375568	"Sidorenko J"
rs11692215-C	2E-9	-	0.7459	-	"0.0128 unit increase"	[0.0087-0.0169]	AFF3	"Body mass index"	"body mass index"	-	GCST90446645	2:100130111	39375568	"Sidorenko J"
rs4556997-C	3E-10	-	0.8292	-	"0.016 unit decrease"	[0.011-0.021]	LINC01104,AFF3	"Body mass index"	"body mass index"	-	GCST90446645	2:100198396	39375568	"Sidorenko J"
rs12615778-A	7E-9	-	0.7002	-	"0.0115 unit increase"	[0.0076-0.0154]	MAP4K4	"Body mass index"	"body mass index"	-	GCST90446645	2:101820276	39375568	"Sidorenko J"
rs17343925-G	1E-9	-	0.5485	-	"0.0112 unit decrease"	[0.0077-0.0147]	LINC01965,CAPZBP1	"Body mass index"	"body mass index"	-	GCST90446645	2:103809919	39375568	"Sidorenko J"
rs10197031-T	1E-16	-	0.7402	-	"0.0166 unit decrease"	[0.013-0.021]	PANTR1	"Body mass index"	"body mass index"	-	GCST90446645	2:104838132	39375568	"Sidorenko J"
rs13405741-T	5E-8	-	0.902	-	"0.0169 unit decrease"	[0.011-0.023]	MIR4435-2HG,BCL2L11	"Body mass index"	"body mass index"	-	GCST90446645	2:111155479	39375568	"Sidorenko J"
rs731834-A	4E-8	-	0.5017	-	"0.0103 unit increase"	[0.0066-0.014]	PSD4	"Body mass index"	"body mass index"	-	GCST90446645	2:113199621	39375568	"Sidorenko J"
rs1374111-G	5E-9	-	0.2532	-	"0.0109 unit decrease"	[0.0072-0.0146]	THSD7B,SMC4P1	"Body mass index"	"body mass index"	-	GCST90446645	2:136676332	39375568	"Sidorenko J"
rs17551974-C	5E-10	-	0.8188	-	"0.0145 unit increase"	[0.01-0.019]	LRP1B	"Body mass index"	"body mass index"	-	GCST90446645	2:141535577	39375568	"Sidorenko J"
rs4954923-T	4E-8	-	0.7969	-	"0.0123 unit decrease"	[0.008-0.0166]	LRP1B	"Body mass index"	"body mass index"	-	GCST90446645	2:141769531	39375568	"Sidorenko J"
rs7583748-G	3E-10	-	0.0886	-	"0.018 unit increase"	[0.012-0.024]	LRP1B	"Body mass index"	"body mass index"	-	GCST90446645	2:142097722	39375568	"Sidorenko J"
rs4662565-C	2E-8	-	0.6969	-	"0.0112 unit increase"	[0.0073-0.0151]	UBE2V1P14,RRN3P4	"Body mass index"	"body mass index"	-	GCST90446645	2:142761669	39375568	"Sidorenko J"
rs6710871-G	8E-15	-	0.8612	-	"0.0199 unit decrease"	[0.015-0.025]	ARHGAP15	"Body mass index"	"body mass index"	-	GCST90446645	2:143203024	39375568	"Sidorenko J"
rs7560871-G	3E-9	-	0.9253	-	"0.0212 unit decrease"	[0.014-0.028]	TEX41	"Body mass index"	"body mass index"	-	GCST90446645	2:144859332	39375568	"Sidorenko J"
rs386392-A	1E-16	-	0.423	-	"0.0153 unit increase"	[0.012-0.019]	RNU6-692P,LINC01911	"Body mass index"	"body mass index"	-	GCST90446645	2:147149338	39375568	"Sidorenko J"
rs1914990-A	1E-9	-	0.6548	-	"0.0117 unit decrease"	[0.008-0.0154]	LINC01876	"Body mass index"	"body mass index"	-	GCST90446645	2:156211381	39375568	"Sidorenko J"
rs3764835-G	4E-9	-	0.8455	-	"0.0148 unit increase"	[0.0099-0.0197]	PKP4-AS1,PKP4	"Body mass index"	"body mass index"	-	GCST90446645	2:158662856	39375568	"Sidorenko J"
rs12595158-C	4E-10	-	0.9747	-	"0.0361 unit increase"	[0.025-0.047]	VPS13C	"Body mass index"	"body mass index"	-	GCST90446645	15:62023836	39375568	"Sidorenko J"
rs11635675-T	1E-11	-	0.6388	-	"0.0132 unit increase"	[0.0095-0.0169]	LINC02568,USP3	"Body mass index"	"body mass index"	-	GCST90446645	15:63501039	39375568	"Sidorenko J"
rs3087660-G	1E-9	-	0.4005	-	"0.0113 unit increase"	[0.0076-0.015]	ZWILCH,RPL4	"Body mass index"	"body mass index"	-	GCST90446645	15:66505154	39375568	"Sidorenko J"
rs2241423-G	9E-51	-	0.7793	-	"0.0317 unit increase"	[0.028-0.036]	MAP2K5	"Body mass index"	"body mass index"	-	GCST90446645	15:67794500	39375568	"Sidorenko J"
