riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
rs2476601-A	7E-20	-	NR	2.7073	-	-	PTPN22,AP4B1-AS1	"Type 1 diabetes and autoimmune thyroid diseases"	"autoimmune thyroid disease,type 1 diabetes mellitus"	-	GCST002876	1:113834946	25936594	"Tomer Y"
rs2358994-A	2E-11	-	NR	1.8688	-	-	AP4B1-AS1,BCL2L15	"Type 1 diabetes and autoimmune thyroid diseases"	"autoimmune thyroid disease,type 1 diabetes mellitus"	-	GCST002876	1:113886839	25936594	"Tomer Y"
rs7679475-A	4E-10	-	NR	1.6198	-	-	QRFPR,TUBB4BP5	"Type 1 diabetes and autoimmune thyroid diseases"	"autoimmune thyroid disease,type 1 diabetes mellitus"	-	GCST002876	4:121392885	25936594	"Tomer Y"
rs11725853-A	8E-7	-	0.15	-	"0.11 unit increase"	[0.07-0.16]	GLRA3	"Urinary albumin excretion rate in type 1 diabetes"	"urinary albumin excretion rate,type 1 diabetes mellitus"	-	GCST002382	4:174721548	24595857	"Sandholm N"
rs2410601-G	4E-6	-	0.47	-	"0.08 unit increase"	[0.04-0.11]	PSD3	"Urinary albumin excretion rate in type 1 diabetes"	"urinary albumin excretion rate,type 1 diabetes mellitus"	-	GCST002382	8:19065067	24595857	"Sandholm N"
rs114631266-C	2E-6	-	0.974	-	"0.284 unit increase"	[0.17-0.4]	OR2W1-AS1	"Type 1 diabetes (age at diagnosis)"	"age at diagnosis,type 1 diabetes mellitus"	-	GCST011773	6:29058810	33179336	"Syreeni A"
rs2471863-C	8E-7	-	0.526	-	"0.057 unit increase"	[0.033-0.081]	POLR1HASP	"Type 1 diabetes (age at diagnosis)"	"age at diagnosis,type 1 diabetes mellitus"	-	GCST011773	6:29931850	33179336	"Syreeni A"
rs34941730-G	2E-9	-	0.119	-	"0.102 unit decrease"	[0.069-0.135]	HLA-A,POLR1HASP	"Type 1 diabetes (age at diagnosis)"	"age at diagnosis,type 1 diabetes mellitus"	-	GCST011773	6:29946109	33179336	"Syreeni A"
rs45626136-C	1E-6	-	0.939	-	"0.111 unit increase"	[0.066-0.156]	RPP21,TRIM39-RPP21	"Type 1 diabetes (age at diagnosis)"	"age at diagnosis,type 1 diabetes mellitus"	-	GCST011773	6:30345252	33179336	"Syreeni A"
rs116020851-C	3E-7	-	0.971	-	"0.182 unit increase"	[0.11-0.25]	HCG21,SFTA2	"Type 1 diabetes (age at diagnosis)"	"age at diagnosis,type 1 diabetes mellitus"	-	GCST011773	6:30954755	33179336	"Syreeni A"
rs1265057-C	2E-6	-	0.491	-	"0.053 unit decrease"	[0.031-0.075]	RNU6-1133P,C6orf15	"Type 1 diabetes (age at diagnosis)"	"age at diagnosis,type 1 diabetes mellitus"	-	GCST011773	6:31110838	33179336	"Syreeni A"
rs116763857-G	1E-14	-	0.027	-	"0.295 unit decrease"	[0.22-0.37]	POU5F1	"Type 1 diabetes (age at diagnosis)"	"age at diagnosis,type 1 diabetes mellitus"	-	GCST011773	6:31173705	33179336	"Syreeni A"
rs9264758-G	3E-7	-	0.866	-	"0.082 unit increase"	[0.051-0.113]	RPL3P2	"Type 1 diabetes (age at diagnosis)"	"age at diagnosis,type 1 diabetes mellitus"	-	GCST011773	6:31280657	33179336	"Syreeni A"
rs9501130-G	2E-11	-	0.822	-	"0.099 unit increase"	[0.07-0.128]	HCP5,LINC01149	"Type 1 diabetes (age at diagnosis)"	"age at diagnosis,type 1 diabetes mellitus"	-	GCST011773	6:31449679	33179336	"Syreeni A"
rs3093664-G	3E-7	-	0.048	-	"0.13 unit increase"	[0.081-0.179]	TNF	"Type 1 diabetes (age at diagnosis)"	"age at diagnosis,type 1 diabetes mellitus"	-	GCST011773	6:31576865	33179336	"Syreeni A"
rs3134938-C	8E-7	-	0.832	-	"0.076 unit decrease"	[0.047-0.105]	TSBP1-AS1,NOTCH4	"Type 1 diabetes (age at diagnosis)"	"age at diagnosis,type 1 diabetes mellitus"	-	GCST011773	6:32238711	33179336	"Syreeni A"
rs926592-C	6E-6	-	0.658	-	"0.059 unit increase"	[0.034-0.084]	TSBP1-AS1,TSBP1	"Type 1 diabetes (age at diagnosis)"	"age at diagnosis,type 1 diabetes mellitus"	-	GCST011773	6:32337881	33179336	"Syreeni A"
rs3135365-C	9E-6	-	0.022	-	"0.202 unit increase"	[0.11-0.29]	TSBP1-AS1,HLA-DRA	"Type 1 diabetes (age at diagnosis)"	"age at diagnosis,type 1 diabetes mellitus"	-	GCST011773	6:32421478	33179336	"Syreeni A"
rs9268576-C	2E-8	-	0.359	-	"0.111 unit decrease"	[0.072-0.15]	TSBP1-AS1,HLA-DRA	"Type 1 diabetes (age at diagnosis)"	"age at diagnosis,type 1 diabetes mellitus"	-	GCST011773	6:32427864	33179336	"Syreeni A"
rs7760731-C	6E-11	-	0.642	-	"0.087 unit increase"	[0.062-0.112]	HLA-DQA1,HLA-DRB1	"Type 1 diabetes (age at diagnosis)"	"age at diagnosis,type 1 diabetes mellitus"	-	GCST011773	6:32615624	33179336	"Syreeni A"
rs9275358-G	3E-7	-	0.475	-	"0.083 unit decrease"	[0.052-0.114]	MTCO3P1,HLA-DQB1	"Type 1 diabetes (age at diagnosis)"	"age at diagnosis,type 1 diabetes mellitus"	-	GCST011773	6:32700118	33179336	"Syreeni A"
rs35122968-C	4E-11	-	0.043	-	"0.2 unit increase"	[0.14-0.26]	HLA-DQB3,MTCO3P1	"Type 1 diabetes (age at diagnosis)"	"age at diagnosis,type 1 diabetes mellitus"	-	GCST011773	6:32714422	33179336	"Syreeni A"
rs3997848-G	2E-14	-	0.117	-	"0.135 unit increase"	[0.1-0.17]	HLA-DQB3,MTCO3P1	"Type 1 diabetes (age at diagnosis)"	"age at diagnosis,type 1 diabetes mellitus"	-	GCST011773	6:32714617	33179336	"Syreeni A"
rs241427-G	4E-6	-	0.797	-	"0.062 unit decrease"	[0.035-0.089]	TAP2	"Type 1 diabetes (age at diagnosis)"	"age at diagnosis,type 1 diabetes mellitus"	-	GCST011773	6:32836637	33179336	"Syreeni A"
rs4148870-C	2E-6	-	0.402	-	"0.053 unit increase"	[0.031-0.075]	TAP2	"Type 1 diabetes (age at diagnosis)"	"age at diagnosis,type 1 diabetes mellitus"	-	GCST011773	6:32838614	33179336	"Syreeni A"
rs3128930-C	7E-6	-	0.683	-	"0.053 unit increase"	[0.029-0.077]	COL11A2P1,HLA-DPB2	"Type 1 diabetes (age at diagnosis)"	"age at diagnosis,type 1 diabetes mellitus"	-	GCST011773	6:33107889	33179336	"Syreeni A"
rs17407280-C	7E-6	-	0.777	-	"0.058 unit increase"	[0.033-0.083]	KIF17	"Type 1 diabetes (age at diagnosis)"	"age at diagnosis,type 1 diabetes mellitus"	-	GCST011773	1:20693912	33179336	"Syreeni A"
rs10919543-G	6E-6	-	0.346	-	"0.055 unit decrease"	[0.031-0.079]	RPS23P10,FCGR3A	"Type 1 diabetes (age at diagnosis)"	"age at diagnosis,type 1 diabetes mellitus"	-	GCST011773	1:161538827	33179336	"Syreeni A"
rs7524087-G	8E-6	-	0.019	-	"0.285 unit increase"	[0.16-0.41]	LINC01740,LINC02771	"Type 1 diabetes (age at diagnosis)"	"age at diagnosis,type 1 diabetes mellitus"	-	GCST011773	1:212470318	33179336	"Syreeni A"
rs77155259-G	2E-6	-	0.944	-	"0.142 unit increase"	[0.083-0.201]	SLC4A10	"Type 1 diabetes (age at diagnosis)"	"age at diagnosis,type 1 diabetes mellitus"	-	GCST011773	2:161647730	33179336	"Syreeni A"
rs111821448-C	5E-6	-	0.972	-	"0.164 unit increase"	[0.093-0.235]	PHLDB2	"Type 1 diabetes (age at diagnosis)"	"age at diagnosis,type 1 diabetes mellitus"	-	GCST011773	3:111874722	33179336	"Syreeni A"
rs139881548-C	7E-6	-	0.984	-	"0.222 unit increase"	[0.13-0.32]	GABRA2	"Type 1 diabetes (age at diagnosis)"	"age at diagnosis,type 1 diabetes mellitus"	-	GCST011773	4:46372280	33179336	"Syreeni A"
rs34740712-C	5E-6	-	0.104	-	"0.088 unit decrease"	[0.051-0.125]	TLL1	"Type 1 diabetes (age at diagnosis)"	"age at diagnosis,type 1 diabetes mellitus"	-	GCST011773	4:165916328	33179336	"Syreeni A"
rs4513644-T	8E-7	-	0.794	-	"0.067 unit increase"	[0.04-0.094]	LNCBRM,LINC02225	"Type 1 diabetes (age at diagnosis)"	"age at diagnosis,type 1 diabetes mellitus"	-	GCST011773	5:57837318	33179336	"Syreeni A"
rs78824139-C	9E-6	-	0.986	-	"0.294 unit increase"	[0.16-0.42]	EYS	"Type 1 diabetes (age at diagnosis)"	"age at diagnosis,type 1 diabetes mellitus"	-	GCST011773	6:64748694	33179336	"Syreeni A"
rs6461299-C	2E-6	-	0.422	-	"0.078 unit decrease"	[0.047-0.109]	AHR	"Type 1 diabetes (age at diagnosis)"	"age at diagnosis,type 1 diabetes mellitus"	-	GCST011773	7:17147155	33179336	"Syreeni A"
rs10255565-C	1E-6	-	0.154	-	"0.086 unit decrease"	[0.051-0.121]	HECW1	"Type 1 diabetes (age at diagnosis)"	"age at diagnosis,type 1 diabetes mellitus"	-	GCST011773	7:43408191	33179336	"Syreeni A"
rs35766765-G	3E-6	-	0.092	-	"0.091 unit decrease"	[0.054-0.128]	PHF20L1	"Type 1 diabetes (age at diagnosis)"	"age at diagnosis,type 1 diabetes mellitus"	-	GCST011773	8:132775726	33179336	"Syreeni A"
rs74629033-G	5E-6	-	0.95	-	"0.116 unit increase"	[0.067-0.165]	PLGRKT	"Type 1 diabetes (age at diagnosis)"	"age at diagnosis,type 1 diabetes mellitus"	-	GCST011773	9:5421234	33179336	"Syreeni A"
rs10961433-G	2E-6	-	0.867	-	"0.079 unit increase"	[0.046-0.112]	NFIB	"Type 1 diabetes (age at diagnosis)"	"age at diagnosis,type 1 diabetes mellitus"	-	GCST011773	9:14228472	33179336	"Syreeni A"
rs4837404-G	5E-6	-	0.368	-	"0.064 unit increase"	[0.037-0.091]	PTGES	"Type 1 diabetes (age at diagnosis)"	"age at diagnosis,type 1 diabetes mellitus"	-	GCST011773	9:129743380	33179336	"Syreeni A"
rs1110458-C	8E-6	-	0.239	-	"0.055 unit decrease"	[0.031-0.079]	USP31,HS3ST2	"Type 1 diabetes (age at diagnosis)"	"age at diagnosis,type 1 diabetes mellitus"	-	GCST011773	16:22969144	33179336	"Syreeni A"
rs2941522-C	7E-9	-	0.575	-	"0.069 unit decrease"	[0.045-0.093]	IKZF3,GRB7	"Type 1 diabetes (age at diagnosis)"	"age at diagnosis,type 1 diabetes mellitus"	-	GCST011773	17:39754115	33179336	"Syreeni A"
rs10258381-G	5E-6	-	0.049	-	"0.119 unit decrease"	[0.068-0.17]	U3,PER3P1	"Type 1 diabetes (age at diagnosis)"	"age at diagnosis,type 1 diabetes mellitus"	-	GCST011773	7:10057028	33179336	"Syreeni A"
rs3842727-A	3E-7	-	0.716	1.9841269	-	-	INS,TH	"Type 1 diabetes in high risk HLA genotype individuals (time to event)"	"disease free survival,type 1 diabetes mellitus"	"carrier status"	GCST006196	11:2163618	29310926	"Sharma A"
rs73043122-C	4E-6	-	0.013	3.351	-	-	RNASET2,MIR3939	"Type 1 diabetes in high risk HLA genotype individuals (time to event)"	"disease free survival,type 1 diabetes mellitus"	"carrier status"	GCST006196	6:166969779	29310926	"Sharma A"
rs113306148-A	3E-6	-	0.013	3.067	-	-	PLEKHA1	"Type 1 diabetes in high risk HLA genotype individuals (time to event)"	"disease free survival,type 1 diabetes mellitus"	"carrier status"	GCST006196	10:122400322	29310926	"Sharma A"
rs10831551-C	5E-6	-	0.048	2.219	-	-	MIR4686,ASCL2	"Type 1 diabetes in high risk HLA genotype individuals (time to event)"	"disease free survival,type 1 diabetes mellitus"	"carrier status"	GCST006196	11:2217058	29310926	"Sharma A"
rs428595-A	2E-6	-	0.011	3.424	-	-	MIR130B,PPIL2	"Type 1 diabetes in high risk HLA genotype individuals (time to event)"	"disease free survival,type 1 diabetes mellitus"	"carrier status"	GCST006196	22:21662102	29310926	"Sharma A"
rs2523589-?	7E-32	-	NR	-	-	-	HLA-B	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	6:31359557	37377963	"Wen YP"
rs1799910-?	1E-31	-	NR	-	-	-	COL11A2	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	6:33171551	37377963	"Wen YP"
rs1150683-?	9E-30	-	NR	-	-	-	ZKSCAN8P2,ZNF603P	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	6:28187536	37377963	"Wen YP"
rs3094663-?	1E-28	-	NR	-	-	-	PSORS1C1	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	6:31139310	37377963	"Wen YP"
rs9258158-?	2E-26	-	NR	-	-	-	HLA-F-AS1	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	6:29720403	37377963	"Wen YP"
rs2859379-?	3E-26	-	NR	-	-	-	ZSCAN12	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	6:28390418	37377963	"Wen YP"
rs502771-?	2E-25	-	NR	-	-	-	HLA-DQA1,HLA-DRB1	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	6:32611193	37377963	"Wen YP"
rs3106189-?	3E-25	-	NR	-	-	-	TAPBP	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	6:33314225	37377963	"Wen YP"
rs1265063-?	3E-25	-	NR	-	-	-	RNU6-1133P,C6orf15	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	6:31110161	37377963	"Wen YP"
rs2581-?	3E-25	-	NR	-	-	-	HLA-DOA	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	6:33006624	37377963	"Wen YP"
rs705708-?	2E-23	-	NR	-	-	-	ERBB3	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	12:56095129	37377963	"Wen YP"
rs2071593-?	3E-23	-	NR	-	-	-	ATP6V1G2,ATP6V1G2-DDX39B	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	6:31545022	37377963	"Wen YP"
rs2227955-?	7E-23	-	NR	-	-	-	HSPA1L	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	6:31810300	37377963	"Wen YP"
rs9295689-?	1E-22	-	NR	-	-	-	BTN2A1,BTN3A3	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	6:26455583	37377963	"Wen YP"
rs4148881-?	2E-22	-	NR	-	-	-	TAP1,PSMB9	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	6:32850655	37377963	"Wen YP"
rs3857549-?	4E-22	-	NR	-	-	-	BTN3A1	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	6:26405825	37377963	"Wen YP"
rs1654774-?	4E-22	-	NR	-	-	-	ZSCAN16,ZSCAN16-AS1	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	6:28128502	37377963	"Wen YP"
rs970901-?	6E-22	-	NR	-	-	-	COL11A2	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	6:33173698	37377963	"Wen YP"
rs9263719-?	8E-22	-	NR	-	-	-	PSORS1C1	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	6:31128798	37377963	"Wen YP"
rs6915833-?	1E-21	-	NR	-	-	-	MICB	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	6:31497860	37377963	"Wen YP"
rs12614-?	2E-21	-	NR	-	-	-	CFB	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	6:31946402	37377963	"Wen YP"
rs2734335-?	3E-20	-	NR	-	-	-	C2	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	6:31926167	37377963	"Wen YP"
rs6916921-?	5E-20	-	NR	-	-	-	NFKBIL1	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	6:31552649	37377963	"Wen YP"
rs706778-?	6E-20	-	NR	-	-	-	IL2RA	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	10:6056986	37377963	"Wen YP"
rs4947324-?	6E-18	-	NR	-	-	-	LTA,NFKBIL1	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	6:31560353	37377963	"Wen YP"
rs3799380-?	1E-17	-	NR	-	-	-	BTN2A1	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	6:26466954	37377963	"Wen YP"
rs6669008-?	3E-17	-	NR	-	-	-	MAGI3	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	1:113623939	37377963	"Wen YP"
rs3763342-?	1E-16	-	NR	-	-	-	HLA-DPA1,HLA-DOA	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	6:33011220	37377963	"Wen YP"
rs2284191-?	2E-16	-	NR	-	-	-	HLA-DOA	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	6:33008877	37377963	"Wen YP"
rs11753213-?	3E-16	-	NR	-	-	-	LINC01016	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	6:33851805	37377963	"Wen YP"
rs2847281-?	2E-15	-	NR	-	-	-	PTPN2	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	18:12821594	37377963	"Wen YP"
rs3819299-?	2E-15	-	NR	-	-	-	HLA-B	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	6:31354590	37377963	"Wen YP"
rs3130922-?	8E-15	-	NR	-	-	-	HCP5,MICB-DT	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	6:31493312	37377963	"Wen YP"
rs1063646-?	1E-14	-	NR	-	-	-	PSORS1C1	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	6:31139871	37377963	"Wen YP"
rs9379968-?	2E-14	-	NR	-	-	-	CDCA7P1,POM121L2	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	6:27276811	37377963	"Wen YP"
rs2281808-?	2E-10	-	NR	-	-	-	SIRPG	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	20:1629905	37377963	"Wen YP"
rs4713603-?	3E-10	-	NR	-	-	-	HLA-DPA1,HLA-DOA	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	6:33011832	37377963	"Wen YP"
rs3757247-?	4E-10	-	NR	-	-	-	BACH2	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	6:90247744	37377963	"Wen YP"
rs9357004-?	4E-10	-	NR	-	-	-	H4C8,H3C9P	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	6:26303091	37377963	"Wen YP"
rs3128931-?	1E-10	-	NR	-	-	-	HLA-DOA,BRD2	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	6:33003931	37377963	"Wen YP"
rs9976767-?	2E-10	-	NR	-	-	-	UBASH3A	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	21:42416281	37377963	"Wen YP"
rs3130286-?	2E-10	-	NR	-	-	-	TNXB	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	6:32074545	37377963	"Wen YP"
rs523383-?	9E-10	-	NR	-	-	-	SLC17A3	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	6:25869620	37377963	"Wen YP"
rs16868943-?	1E-9	-	NR	-	-	-	COL11A2	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	6:33179950	37377963	"Wen YP"
rs9368521-?	1E-9	-	NR	-	-	-	LINC01012,RPL8P1	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	6:27677499	37377963	"Wen YP"
rs7041847-?	1E-9	-	NR	-	-	-	GLIS3	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	9:4287466	37377963	"Wen YP"
rs7200786-?	1E-9	-	NR	-	-	-	CLEC16A	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	16:11083944	37377963	"Wen YP"
rs6915987-?	1E-9	-	NR	-	-	-	HNRNPA1P1,CD83P1	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	6:27547997	37377963	"Wen YP"
rs6859219-?	1E-9	-	NR	-	-	-	ANKRD55	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	5:56142753	37377963	"Wen YP"
rs2075799-?	2E-9	-	NR	-	-	-	HSPA1L	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	6:31810752	37377963	"Wen YP"
rs11758636-?	2E-9	-	NR	-	-	-	CDCA7P1,PRSS16	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	6:27261782	37377963	"Wen YP"
rs11651753-?	3E-9	-	NR	-	-	-	PNPO,PRR15L	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	17:47951723	37377963	"Wen YP"
rs10517086-?	3E-9	-	NR	-	-	-	LINC02357	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	4:26083889	37377963	"Wen YP"
rs2263316-?	4E-9	-	NR	-	-	-	LINC01149,HCP5	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	6:31453520	37377963	"Wen YP"
rs6918090-?	5E-9	-	NR	-	-	-	LINC01016	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	6:33886956	37377963	"Wen YP"
rs886125-?	1E-8	-	NR	-	-	-	MYL2	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	12:110927520	37377963	"Wen YP"
rs3024505-?	1E-8	-	NR	-	-	-	Y_RNA,IL10	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	1:206766559	37377963	"Wen YP"
rs231735-?	4E-14	-	NR	-	-	-	RNU6-474P,CTLA4	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	2:203829153	37377963	"Wen YP"
rs17032011-?	8E-14	-	NR	-	-	-	HIPK1	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	1:113932728	37377963	"Wen YP"
rs2747419-?	3E-13	-	NR	-	-	-	ZFP57	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	6:29674417	37377963	"Wen YP"
rs10498722-?	5E-12	-	NR	-	-	-	CMAHP	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	6:25186284	37377963	"Wen YP"
rs12251307-?	2E-11	-	NR	-	-	-	RPL32P23,RBM17	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	10:6081532	37377963	"Wen YP"
rs7234029-?	2E-11	-	NR	-	-	-	PTPN2	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	18:12877061	37377963	"Wen YP"
rs4712944-?	3E-11	-	NR	-	-	-	CARMIL1	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	6:25488037	37377963	"Wen YP"
rs86715-?	4E-11	-	NR	-	-	-	ZBTB9,RN7SL26P	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	6:33512658	37377963	"Wen YP"
rs1788103-?	4E-11	-	NR	-	-	-	CD226	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	18:69871588	37377963	"Wen YP"
rs6899309-?	6E-11	-	NR	-	-	-	HLA-DMB,HLA-DMA	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	6:32948046	37377963	"Wen YP"
rs16897515-?	8E-11	-	NR	-	-	-	POM121L2	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	6:27310241	37377963	"Wen YP"
rs4711092-?	9E-11	-	NR	-	-	-	SCGN	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	6:25684177	37377963	"Wen YP"
rs4238595-?	4E-10	-	NR	-	-	-	GP2,UMOD	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	16:20331769	37377963	"Wen YP"
rs1805761-?	9E-10	-	NR	-	-	-	M6PR	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	12:8946937	37377963	"Wen YP"
rs9784758-?	1E-237	-	NR	-	-	-	HLA-DOB,TAP2	"Rheumatoid arthritis or type 1 diabetes"	"rheumatoid arthritis,type 1 diabetes mellitus"	-	GCST90302863	6:32820734	37377963	"Wen YP"
